Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,CVSS v3.0 Base Score,Distribution,State
10114,CVE-1999-0524,0,None,Laptop,icmp,0,ICMP Timestamp Request Remote Date Disclosure,It is possible to determine the exact time set on the remote host.,"The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).",,"The difference between the local and remote clocks is -5 seconds.
",0,OpenSUSE,fully updated
10267,,,None,Laptop,tcp,22,SSH Server Type and Version Information,An SSH server is listening on this port.,"It is possible to obtain information about the remote SSH server by
sending an empty authentication request.",n/a,,"
SSH version : SSH-2.0-OpenSSH_9.6
SSH supported authentication : publickey,password,keyboard-interactive
",,OpenSUSE,fully updated
10287,,,None,Laptop,udp,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,n/a,,"For your information, here is the traceroute from 10.0.1.11 to 10.0.1.21 : 
10.0.1.11
10.0.1.21

Hop Count: 1
",,OpenSUSE,fully updated
10881,,,None,Laptop,tcp,22,SSH Protocol Versions Supported,A SSH server is running on the remote host.,"This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.",n/a,,"The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
",,OpenSUSE,fully updated
11936,,,None,Laptop,tcp,0,OS Identification,It is possible to guess the remote operating system.,"Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.",n/a,,"
Remote operating system : Linux Kernel 6.6.3-1-default on openSUSE 20240409
Confidence level : 100
Method : LinuxDistribution

 
The remote host is running Linux Kernel 6.6.3-1-default on openSUSE 20240409",,OpenSUSE,fully updated
14272,,,None,Laptop,tcp,22,Netstat Portscanner (SSH),Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: If the scan policy has WMI Netstat enabled, this plugin will run on 
Windows (using netstat.exe) in the event that the target being scanned is localhost.",n/a,https://en.wikipedia.org/wiki/Netstat,Port 22/tcp was found to be open,,OpenSUSE,fully updated
14272,,,None,Laptop,udp,5353,Netstat Portscanner (SSH),Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: If the scan policy has WMI Netstat enabled, this plugin will run on 
Windows (using netstat.exe) in the event that the target being scanned is localhost.",n/a,https://en.wikipedia.org/wiki/Netstat,Port 5353/udp was found to be open,,OpenSUSE,fully updated
14272,,,None,Laptop,udp,37658,Netstat Portscanner (SSH),Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: If the scan policy has WMI Netstat enabled, this plugin will run on 
Windows (using netstat.exe) in the event that the target being scanned is localhost.",n/a,https://en.wikipedia.org/wiki/Netstat,Port 37658/udp was found to be open,,OpenSUSE,fully updated
14272,,,None,Laptop,udp,48742,Netstat Portscanner (SSH),Remote open ports can be enumerated via SSH.,"Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: If the scan policy has WMI Netstat enabled, this plugin will run on 
Windows (using netstat.exe) in the event that the target being scanned is localhost.",n/a,https://en.wikipedia.org/wiki/Netstat,Port 48742/udp was found to be open,,OpenSUSE,fully updated
19506,,,None,Laptop,tcp,0,Nessus Scan Information,This plugin displays information about the Nessus scan.,"This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.",n/a,,"Information about this scan : 

Nessus version : 10.7.1
Nessus build : 20016
Plugin feed version : 202404071510
Scanner edition used : Nessus Home
Scanner OS : LINUX
Scanner distribution : ubuntu1404-x86-64
Scan type : Normal
Scan name : OpenSUSE (post-scan)
Scan policy used : Basic Network Scan
Scanner IP : 10.0.1.11
Port scanner(s) : netstat 
Port range : default
Ping RTT : 119.974 ms
Thorough tests : no
Experimental tests : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : yes, as 'user' via ssh
Attempt Least Privilege : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 4
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2024/4/10 11:50 EDT
Scan duration : 728 sec
Scan for malware : no
",,OpenSUSE,fully updated
